index	speaker	sentiment	movingave(bin 20)	text	movingave
80		Neutral	-0.25641	[TOM deliberately lays his imaginary fork down and his chair back from the table.]	-0.178893652
81	Tom	Negative	-0.23077	TOM: I haven't enjoyed one bite of this dinner because of your constant directions on how to eat it.	-0.153253652
82	Tom	Negative	-0.20513	It's you that makes me rush through meals with your hawk-like attention to every bite I take.	-0.127613652
83	Tom	Neutral	-0.20513	Sickening - spoils my appetite - all this discussion of - animals' secretion - salivary glands -mastication !	-0.127613652
84	Amanda	Negative	-0.17949	AMANDA [lightly]: Temperament like a Metropolitan star !	-0.101973652
85		Neutral	-0.17949	[He rises and crosses downstage.]	-0.101973652
86	Amanda	Negative	-0.175	You're not excused from the table.	-0.097483652
87	Tom	Negative	-0.17073	TOM: I'm getting a cigarette.	-0.093213652
88	Amanda	Negative	-0.14634	AMANDA: You smoke too much.	-0.068823652
89		Neutral	-0.14634	[LAURA rises.]	-0.068823652
90	Laura	Positive	-0.097561	LAURA: I'll bring in the blancmangê©.	-0.020044652
91		Neutral	-0.097561	[He remains standing with his cigarette by the portieres during the following.]	-0.020044652
92	Amanda	Negative	-0.12195	"AMANDA [rising]: No, sister, no, sister - you be the lady this time and I'll be the darkey."	-0.044433652
93	Laura	Negative	-0.097561	LAURA: I'm already up.	-0.020044652
94	Amanda	Positive	-0.12195	"AMANDA: Resume your seat, little sister, I want you to stay fresh and pretty for gentleman callers!"	-0.044433652
95	Laura	Negative	-0.097561	LAURA: I'm not expecting any gentleman callers.	-0.020044652
96	Amanda	Neutral	-0.097561	"AMANDA [crossing out to kitchenette, airily]: Sometimes they come when they are least expected!"	-0.020044652
97	Amanda	Negative	-0.073171	"Why, I remember one Sunday afternoon in Blue Mountain -[Enters kitchenette.]"	0.004345348
98	Tom	Neutral	-0.12195	TOM: I know what's coming.	-0.044433652
99	Laura	Neutral	-0.14634	LAURA: Yes.	-0.068823652
100	Laura	Neutral	-0.17073	But let her tell it.	-0.093213652
101	Tom	Neutral	-0.17073	TOM: Again?	-0.093213652
102	Laura	Positive	-0.14634	LAURA: She loves to tell it.	-0.068823652
103		Neutral	-0.12195	[AMANDA returns with bowl of dessert.]	-0.044433652
104	Amanda	Positive	-0.097561	"AMANDA: One Sunday afternoon in Blue Mountain, your mother received seventeen gentlemen callers!"	-0.020044652
105	Amanda	Negative	-0.075	"Why, sometimes there weren't chairs enough to accommodate them all."	0.002516348
106	Amanda	Neutral	-0.076923	We had to send the nigger over to bring in folding chairs from the parish house.	0.000593348
107	Tom	Neutral	-0.051282	TOM [remaining at portieres]: How did you entertain those gentleman callers?	0.026234348
108	Amanda	Neutral	-0.051282	A M A N D A: I understood the art of conversation !	0.026234348
109	Tom	Neutral	-0.025641	TOM: I bet you could talk.	0.051875348
110	Amanda	Positive	0	"AMANDA: Girls in those days knew how to talk, I can tell you."	0.077516348
111	Tom	Neutral	0	TOM: Yes?	0.077516348
112		Negative	0	[IMAGE: AMANDA AS A GIRL ON A PORCH GREETING CALLERS.]	0.077516348
113	Amanda	Positive	0.025641	AMANDA: They knew how to entertain their gentlemen callers.	0.103157348
114	Amanda	Negative	0.051282	It wasn't enough for a girl to be possessed of a pretty face and a graceful figure although I wasn't alighted in either respect.	0.128798348
115	Amanda	Positive	0	She also needed to have a nimble wit and a tongue to meet all occasions.	0.077516348
116	Tom	Neutral	0.025641	TOM: What did you talk about?	0.103157348
117	Amanda	Neutral	0.025641	AMANDA: Things of importance going on in the world !	0.103157348
118	Amanda	Negative	0.076923	Never anything coarse or common or vulgar.	0.154439348
119		Neutral	0.076923	[She addresses Tom as though he were seated in the vacant chair at the table though he remains by portieres.	0.154439348
120		Neutral	0.076923	He plays this scene as though he held the book.]	0.154439348
121	Amanda	Neutral	0.076923	My callers were gentleman -all!	0.154439348
122	Amanda	Neutral	0.051282	Among my callers were some of the most prominent young planters of the Mississippi Delta - planters and sons of planters!	0.128798348
123		Neutral	0.025641	[Tom motions for music and a spot of light on AMANDA.	0.103157348
124		Positive	0	"Her eyes lift, her face glows, her voice becomes rich and elegiac."	0.077516348
125		None	0	SCREEN LEGEND: 'Oê_ SONT Les NEIGES']	0.077516348
126		None	0.025641	 	0.103157348
127	Amanda	Neutral	0.025641	There was young Champ Laughlin who later became vice-president of the Delta Planters Bank.	0.103157348
128	Amanda	Negative	0	Hadley Stevenson who was drowned in Moon Lake and left his widow one hundred and fifty thousand in Government bonds.	0.077516348
129	Amanda	Neutral	0	"There were the Cutrere brothers, Wesley and Bates."	0.077516348
130	Amanda	Positive	0.051282	Bates was one of my bright particular beaux!	0.128798348
131	Amanda	Positive	0.025641	He got in a quarrel with that wild Wainwright boy.	0.103157348
132	Amanda	Neutral	0.025641	They shot it out on the floor of Moon Lake Casino.	0.103157348
133	Amanda	Neutral	0.051282	Bates was shot through the stomach.	0.128798348
134	Amanda	Neutral	0	Died in the ambulance on his way to Memphis.	0.077516348
135	Amanda	Negative	0	"His widow was also well provided for, came into eight or ten thousand acres, that's all."	0.077516348
136	Amanda	Neutral	-0.025641	She married him on the rebound - never loved her - carried my picture on him the night he died !	0.051875348
137	Amanda	Neutral	-0.025641	And there was that boy that every girl in the Delta had set her cap for!	0.051875348
138	Amanda	Positive	-0.025641	"That brilliant, brilliant young Fitzhugh boy from Greene County!"	0.051875348
139	Tom	Neutral	0	TOM: What did he leave his widow?	0.077516348
140	Amanda	Neutral	-0.025641	AMANDA: He never married !	0.051875348
141	Amanda	Neutral	-0.025641	"Gracious, you talk as though all of my old admirers had turned up their toes to the daisies !"	0.051875348
142	Tom	Negative	-0.025641	TOM: Isn't this the first you've mentioned that still survives ?	0.051875348
143	Amanda	Neutral	-0.025641	AMANDA: That Fitzhugh boy went North and made a fortune - came to be known as the Wolf of Wall Street!	0.051875348
144	Amanda	Negative	-0.025641	"He had the Midas touch, whatever he touched turned to gold!"	0.051875348
145	Amanda	Positive	-0.025641	"And I could have been Mrs Duncan J. Fitzhugh, mind you!"	0.051875348
146	Amanda	Neutral	-0.05	But - I picked your father !	0.027516348
147	Laura	Neutral	-0.073171	"LAURA [rising]: Mother, let me clear the table."	0.004345348
148	Amanda	Negative	-0.097561	"AMANDA: No, dear, you go in front and study your typewriter chart."	-0.020044652
149	Amanda	Neutral	-0.073171	Or practice your shorthand a little.	0.004345348
150	Amanda	Very Positive	-0.073171	Stay fresh and pretty!	0.004345348
151	Amanda	Neutral	-0.12195	It's almost time for our gentlemen callers to start arriving.	-0.044433652
152		Neutral	-0.15	[She flounces girlishly toward the kitchenette.]	-0.072483652
153	Amanda	Neutral	-0.15385	How many do you suppose we're going to entertain this afternoon?	-0.076333652
154		Negative	-0.15789	[Tom throws down the paper and jumps up with a groan.]	-0.080373652
155	Laura	Negative	-0.16216	"LAURA [alone in the dining-room]: I don't believe we're going to receive any, Mother."	-0.084643652
156	Amanda	Neutral	-0.13514	"AMANDA [reappearing, airily ] What?"	-0.057623652
157	Amanda	Neutral	-0.16216	Not one - not one?	-0.084643652
158	Amanda	Neutral	-0.18919	You must be joking!	-0.111673652
159		Neutral	-0.21622	[LAURA nervously echoes her laugh.S he slips in a fugitive manner through the half-open portieres and draws them in gently behind her.	-0.138703652
160		Negative	-0.21622	A shaft of very clear light is thrown on her face against the faded tapestry of the curtains.]	-0.138703652
161		Neutral	-0.21622	[MUSIC: 'THE GLASS MENAGERIE' UNDER FAINTLY.	-0.138703652
162		Neutral	-0.18919	Lightly.]	-0.111673652
163	Amanda	Neutral	-0.16216	Not one gentleman caller?	-0.084643652
164	Amanda	Neutral	-0.18919	It can't be true !	-0.111673652
165	Amanda	Positive	-0.13514	"There must be a flood, there must have been a tornado!"	-0.057623652
166	Laura	Negative	-0.18919	"LAURA: It isn't a flood, it's not a tornado, Mother."	-0.111673652
167	Laura	Negative	-0.21622	I'm just not popular like you were in Blue Mountain.	-0.138703652
168		Negative	-0.27027	... [Tom utters another groan.	-0.192753652
169		Neutral	-0.25	"LAURA glances at him with a faint, apologetic smile."	-0.172483652
170		Neutral	-0.27778	Her voice catching a little.]	-0.200263652
171	Laura	Negative	-0.30556	Mother's afraid I'm going to be an old maid.	-0.228043652
172		None	-0.30556	THE SCENE DIMS OUT WITH 'GLASS MENAGERIE'	-0.228043652
173		None	-0.30556	 	-0.228043652
174		None	-0.33333	Music	-0.255813652
175		None	-0.30556	SCENE 2.	-0.228043652
176		Neutral	-0.27778	'Laura Haven't you Ever Liked Some Boy?'	-0.200263652
177		Negative	-0.27778	On the dark stage the screen is lighted with the image of blue roses.	-0.200263652
178		Negative	-0.27778	[Gradually LAURA' s figure becomes apparent and the screen goes out.	-0.200263652
179		Neutral	-0.25	The music subsides.	-0.172483652
180		Neutral	-0.25	LAURA is seated in the delicate ivory chair at the small claw-foot table.	-0.172483652
181		Neutral	-0.25	She wears a dress of soft violet material for a kimono - her hair tied back from her forehead with a ribbon.	-0.172483652
182		Positive	-0.27778	She is washing and polishing her collection of glass.	-0.200263652
183		Neutral	-0.30556	AMANDA appears on the fire-escape steps.	-0.228043652
184		Negative	-0.30556	"At the sound of her ascent, LAURA catches her breath, thrusts the bowl of ornaments away and seats herself stiffly before the diagram of the typewriter keyboard as though it held her spellbound."	-0.228043652
185		Positive	-0.30556	Something has happened to AMANDA.	-0.228043652
186		Negative	-0.36111	It is written in her face as she climbs to the landing: a look that is grim and hopeless and a little absurd.	-0.283593652
187		Negative	-0.36111	She has on one of those cheap or imitation velvety-looking cloth coats with imitation fur collar.	-0.283593652
188		Very Negative	-0.36111	"Her hat is five or six years old, one of those dreadful cloche hats that were worn in the late twenties and she is eloping an enormous black patent-leather pocketbook with nickel clasps and initials."	-0.283593652
189		None	-0.36111	"This is her full-dress outfit, the one she usually wears to the D.A.R."	-0.283593652
190		Negative	-0.33333	Before entering she looks through the door.	-0.255813652
191		Positive	-0.33333	"She purses her lips, opens her eyes very wide, rolls them upward, and shakes her head."	-0.255813652
192		Neutral	-0.30556	Then she slowly lets herself in the door.	-0.228043652
193		Neutral	-0.2973	Seeing her mother's expression LAURA touches her lips with a nervous gesture.]	-0.219783652
194	Laura	Negative	-0.31579	"LAURA: Hello, Mother, I was - [She makes a nervous gesture toward the chart on the Wall."	-0.238273652
195		Neutral	-0.33333	AMANDA leans against the shut door and stares at LAURA with a martyred look.]	-0.255813652
196	Amanda	Neutral	-0.35	A M A N D A: Deception ?	-0.272483652
197		Neutral	-0.35	Deception ?	-0.272483652
198		Neutral	-0.3	"[She slowly removes her hat and gloves, continuing the sweet suffering stare."	-0.222483652
199		Positive	-0.275	She lets the hat and gloves fall on the floor - a bit of acting.]	-0.197483652
200	Laura	Neutral	-0.3	LAURA [shakily]: How was the DAR meeting?	-0.222483652
201		Negative	-0.3	[AMANDA slowly opens her purse and removes a dainty white handkerchief which she shakes out delicately and delicately touches to her lips and nostrils.]	-0.222483652
202		Negative	-0.3	"Didn't you go to the DAR meeting, Mother?"	-0.222483652
203	Amanda	Negative	-0.325	"AMANDA [faintly, almost inaudibly]: - No."	-0.247483652
204		Neutral	-0.325		-0.247483652
205		Neutral	-0.325	[Then more forcibly.]	-0.247483652
206		Negative	-0.35	I did not have the strength - to go to the DAR.	-0.272483652
207		Negative	-0.325	"In fact, I did not have the courage!"	-0.247483652
208		Negative	-0.3	I wanted to find a hole in the ground and hide myself in it for ever !	-0.222483652
209		Negative	-0.225	[She crosses slowly to the wall and removes the diagram of the typewriter keyboard.	-0.147483652
210		Positive	-0.2439	"She holds it in front of her for a second, staring at it sweetly and sorrowfully - then bites her lips and tears it into two pieces.]"	-0.166383652
211	Laura	Neutral	-0.2439	"LAURA [faintly]: Why did you do that, Mother?"	-0.166383652
212		Neutral	-0.26829	[AMANDA repeats the same procedure with the chart of the Gregg alphabet.]	-0.190773652
213		Neutral	-0.29268	Why are you ??	-0.215163652
214	Amanda	Negative	-0.3	AMANDA: Why?	-0.222483652
215		Negative	-0.28205	Why?	-0.204533652
216		Negative	-0.30769	"How old are you, Laura?"	-0.230173652
217	Laura	Neutral	-0.30769	"LAURA: Mother, you know my age."	-0.230173652
218	Amanda	Positive	-0.30769	AMANDA: I thought that you were an adult; it seems that I was mistaken.	-0.230173652
219		Neutral	-0.33333	[She crosses slowly to the sofa and sinks down and stares at LAURA.]	-0.255813652
220	Laura	Negative	-0.36842	"LAURA: Please don't stare at me, Mother."	-0.290903652
221		Neutral	-0.36842	[AMANDA closes her eyes and lowers her head.	-0.290903652
222		Neutral	-0.36842	Count ten.]	-0.290903652
223	Amanda	Neutral	-0.36842	"AMANDA: What are we going to do, what is going to become of us, what is the future?"	-0.290903652
224		Neutral	-0.36842	[Count ten.]	-0.290903652
225	Laura	Negative	-0.39474	"LAURA: Has something happened, Mother?"	-0.317223652
226		Neutral	-0.42105	[AMANDA draws a long breath and takes out the handkerchief again.	-0.343533652
227		Neutral	-0.36842	Dabbing process.]	-0.290903652
228		Neutral	-0.36842	"Mother, has - something happened?"	-0.290903652
229	Amanda	Positive	-0.36842	"AMANDA: I'll be all right in a minute, I'm just bewildered [Count five] by life."	-0.290903652
230	Laura	Negative	-0.36842	"LAURA: Mother, I wish that you would tell me what's happened!"	-0.290903652
231	Amanda	Negative	-0.42105	"A M A N D A: As you know, I was supposed to be inducted into my office at the D.A.R. this afternoon."	-0.343533652
232		Neutral	-0.44737	[IMAGE: A SWARM OF TYPEWRITERS.]	-0.369853652
233	Amanda	Negative	-0.44737	But I stopped off at Rubicam's business college to speak to your teachers about your having a cold and ask them what progress they thought you were making down there.	-0.369853652
234	Laura	None	-0.47368	LAURA: Oh....	-0.396163652
235		None	-0.42105	 	-0.343533652
236	Amanda	Negative	-0.39474	AMANDA: I went to the typing instructor and introduced myself as your mother.	-0.317223652
237	Amanda	Neutral	-0.36842	She didn't know who you were.	-0.290903652
238	Amanda	Neutral	-0.36842	"Wingfield, she said."	-0.290903652
239	Amanda	Negative	-0.39474	We don't have any such student enrolled at the school!	-0.317223652
240	Amanda	None	-0.42105	"I assured her she did, that you had been going to classes since early in January."	-0.343533652
241	Amanda	Neutral	-0.39474	'	-0.317223652
242	Amanda	Negative	-0.42105	"I wonder,' she said, 'if you could be talking about that terribly shy little girl who dropped out of school after only a few days' attendance?'"	-0.343533652
243	Amanda	Negative	-0.42105	"'No,' I said, 'Laura, my daughter, has been going to school every day for the past six weeks !'"	-0.343533652
244	Amanda	Negative	-0.42105	"'Excuse me,' she said."	-0.343533652
245	Amanda	Negative	-0.42105	"She took the attendance book out and there was your name, unmistakably printed, and all the dates you were absent until they decided that you had dropped out of school."	-0.343533652
246	Amanda	Negative	-0.39474	"I still said, 'No, there must have been some mistake I There must have been some mix-up in the records !'"	-0.317223652
247	Amanda	Positive	-0.42105	"And she said, 'No - I remember her perfectly now."	-0.343533652
248	Amanda	Negative	-0.42105	Her hands shook so that she couldn't hit the right keys !	-0.343533652
249	Amanda	Negative	-0.42105	"The first time we gave a speed-test, she broke down completely - was sick at the stomach and almost had to be carried into the wash-room!"	-0.343533652
250	Amanda	Negative	-0.44737	After that morning she never showed up any more.	-0.369853652
251	Amanda	Negative	-0.42105	"We phoned the house but never got any answer' -while I was working at Famous and Barr, I suppose, demonstrating those - Oh!"	-0.343533652
252	Amanda	Negative	-0.42105	I felt so weak I could barely keep on my feet !	-0.343533652
253	Amanda	Neutral	-0.42105	I had to sit down while they got me a glass of water !	-0.343533652
254	Amanda	Negative	-0.42105	"Fifty dollars' tuition, all of our plans - my hopes and ambition for you - just gone up the spout, just gone up the spout like that."	-0.343533652
255		Positive	-0.4359	[LAURA draws a long breath and gets awkwardly to her feet She crosses to the victrola and winds it up.]	-0.358383652
256	Amanda	Neutral	-0.45	What are you doing?	-0.372483652
257	Laura	Neutral	-0.425	LAURA: Oh I [She releases the handle and returns to her seat.]	-0.347483652
258	Amanda	Neutral	-0.425	"AMANDA: Laura, where have you been going when you've gone on pretending that you were going to business college ?"	-0.347483652
259	Laura	Neutral	-0.425	L A U RA: I've just been going out walking.	-0.347483652
260	Amanda	Negative	-0.425	AMANDA: That's not true.	-0.347483652
261	Laura	Neutral	-0.41463	LAURA: It is.	-0.337113652
262	Laura	Negative	-0.41463	I just went walking.	-0.337113652
263	Amanda	Neutral	-0.39024	AMANDA: Walking?	-0.312723652
264	Amanda	Neutral	-0.39024	Walking?	-0.312723652
265	Amanda	Neutral	-0.39024	In winter?	-0.312723652
266	Amanda	Neutral	-0.36585	Deliberately courting pneumonia in that light coat?	-0.288333652
267	Amanda	Negative	-0.36585	"Where did you walk to, Laura?"	-0.288333652
268	Laura	Neutral	-0.39024	LAURA: All sorts of places - mostly in the park.	-0.312723652
269	Amanda	Neutral	-0.36585	AMANDA: Even after you'd started catching that cold?	-0.288333652
270	Laura	Neutral	-0.34146	"LAURA: It was the lesser of two evils, Mother."	-0.263943652
271		Neutral	-0.34146	[IMAGE: WINTER SCENE IN PARK.]	-0.263943652
272	Laura	Negative	-0.29268	I couldn't go back up.	-0.215163652
273	Laura	Neutral	-0.26829	I threw up -on the floor !	-0.190773652
274	Amanda	Negative	-0.26829	"AMANDA: From half past seven till after five every day you mean to tell me you walked around in the park, because you wanted to make me think that you were still going to Rubicam's Business College?"	-0.190773652
275	Laura	Negative	-0.26829	LAURA: It wasn't as bad as it sounds.	-0.190773652
276	Laura	Negative	-0.29268	I went inside places to get warmed up.	-0.215163652
277	Amanda	Neutral	-0.29268	AMANDA: Inside where?	-0.215163652
278	Laura	Neutral	-0.26829	LAURA: I went in the art museum and the bird-houses at the Zoo.	-0.190773652
279	Laura	Neutral	-0.31707	I visited the penguins every day!	-0.239553652
280	Laura	Negative	-0.34146	Sometimes I did without lunch and went to the movies.	-0.263943652
281	Laura	Neutral	-0.31707	"Lately I've been spending most of my afternoons in the jewel-box, that big glass-house where they raise the tropical flowers."	-0.239553652
282	Amanda	Neutral	-0.31707	"AMANDA: You did all this to deceive me, just for deception?"	-0.239553652
283		Neutral	-0.31707	[LAURA looks down.]	-0.239553652
284	Amanda	Negative	-0.31707	Why?	-0.239553652
285	Laura	Negative	-0.31707	"LAURA: Mother, when you're disappointed, you get that awful suffering look on your face, like the picture of Jesus' mother in the museum !"	-0.239553652
286	Amanda	Neutral	-0.31707	AMANDA: Hush !	-0.239553652
287	Laura	Negative	-0.31707	LAURA: I couldn't face it.	-0.239553652
288		Neutral	-0.26829	[Pause.	-0.190773652
289		Neutral	-0.26829	A whisper of strings.	-0.190773652
290		Neutral	-0.26829	LEGEND: 'THE CRUST OF HUMILITY'.]	-0.190773652
291	Amanda	Negative	-0.26829	AMANDA [hopelessly fingering the huge pocketbook]: So what are we going to do the rest of our lives?	-0.190773652
292	Amanda	Positive	-0.26829	Stay home and watch the parades go by?	-0.190773652
293	Amanda	Neutral	-0.2439	"Amuse ourselves with the glass menagerie, darling?"	-0.166383652
294	Amanda	Neutral	-0.26829	Eternally play those worn-out phonograph records your father left as a painful reminder of him?	-0.190773652
295	Amanda	Negative	-0.21951	We won't have a business career - we've given that up because it gave us nervous indigestion !	-0.141993652
296		Neutral	-0.19512	[Laughs wearily.]	-0.117603652
297	Amanda	Neutral	-0.17073	What is there left but dependency all our lives?	-0.093213652
298	Amanda	Positive	-0.17073	I know so well what becomes of unmarried women who aren't prepared to occupy a position.	-0.093213652
299	Amanda	Very Negative	-0.17073	I've seen such pitiful cases in the South - barely tolerated spinsters living upon the grudging patronage of sister's husband or brother's wife !	-0.093213652
300	Amanda	Negative	-0.17073	- stuck away in some little mousetrap of a room - encouraged by one in-law to visit another - little birdlike women without any nest - eating the crust of humility all their life !	-0.093213652
301	Amanda	Neutral	-0.14634	Is that the future that we've mapped out for ourselves?	-0.068823652
302	Amanda	Neutral	-0.12195	I swear it's the only alternative I can think of !	-0.044433652
303	Amanda	Negative	-0.097561	"It isn't a very pleasant alternative, is it?"	-0.020044652
304	Amanda	Neutral	-0.073171	Of course - some girls do marry!	0.004345348
305		Neutral	-0.02439	[LAURA twists her hands nervously.]	0.053126348
306	Amanda	Neutral	-0.02439	Haven't you ever liked some boy?	0.053126348
307	Laura	Neutral	-0.02439	LAURA: Yes.	0.053126348
308	Laura	Positive	-0.02439	I liked one once.	0.053126348
309		Neutral	-0.02439	[Rises.]	0.053126348
310	Laura	Neutral	-0.04878	I came across his picture a while ago.	0.028736348
311		Neutral	-0.04878	AMANDA [with some interest].	0.028736348
312	Amanda	Neutral	-0.04878	He gave you his picture?	0.028736348
313	Laura	Neutral	-0.097561	"LAURA: No, it's in the year-book."	-0.020044652
314	Amanda	Negative	-0.097561	AMANDA: [disappointed]: Oh - a high-school boy.	-0.020044652
